ProcessorId,Name,CreatedAt,UpdatedAt
11,fac,"2022-03-07 18:17:47","2022-03-07 18:17:47"
12,fri,"2022-03-07 20:42:18","2022-03-07 20:42:18"
13,epay,"2022-03-07 23:43:40","2022-03-07 23:43:40"
14,openpay,"2022-03-16 00:03:41","2022-03-16 00:03:41"
15,ridivi,"2022-03-16 00:15:12","2022-03-16 00:15:12"
16,serfinsa,"2022-03-17 04:05:03","2022-03-17 04:05:03"
17,globalPay-PSE,"2022-03-24 15:31:22","2022-03-24 15:31:22"
18,globalPay,"2022-03-31 00:05:29","2022-03-31 00:05:29"
19,fac-2,"2022-05-18 00:52:26","2022-05-18 00:52:26"
20,visa-cybersource,"2022-05-20 03:09:43","2022-05-20 03:09:43"
21,paypal,"2022-05-25 17:00:59","2022-05-25 17:00:59"
22,mercadoPago,"2022-08-12 16:42:43","2022-08-12 16:42:43"
23,adyen,"2022-09-12 23:14:36","2022-09-12 23:14:36"
24,paymentez,"2022-09-28 16:45:47","2022-09-28 16:45:47"
25,ge,"2022-10-27 05:21:24","2022-10-27 05:21:24"
26,pronet,"2023-03-23 16:00:18","2023-03-23 16:00:18"
27,osmo,"2023-06-07 14:57:19","2023-06-07 14:57:19"
28,visa-epay,"2023-07-05 17:40:30","2023-07-05 17:40:30"
29,bam,"2023-08-22 13:10:42","2023-08-22 13:10:42"
159,zigi,"2023-10-13 15:00:21","2023-10-13 15:00:21"
160,visa,"2023-11-07 03:21:19","2023-11-07 03:21:19"
161,t1-pagos,"2024-02-13 12:27:00","2024-02-13 12:27:00"
162,t1pagos,"2024-02-13 12:30:13","2024-02-13 12:30:13"
163,ridivi-v2,"2024-02-13 18:08:38","2024-02-13 18:08:38"
164,ebanx,"2024-02-14 17:24:07","2024-02-14 17:24:07"
165,{{processorSlug}},"2024-03-06 19:03:56","2024-03-06 19:03:56"
166,mo,"2024-03-27 15:51:09","2024-03-27 15:51:09"
167,tc/td,"2024-04-09 15:10:21","2024-04-09 15:10:21"
168,transfer,"2024-04-10 19:40:47","2024-04-10 19:40:47"
170,azul,"2024-07-17 19:59:58","2024-07-17 19:59:58"
171,globalPay-ApplePay,"2024-09-06 19:17:44","2024-09-06 19:17:44"
172,akisi,"2024-10-17 02:53:41","2024-10-17 02:53:41"
173,cash,"2024-10-17 17:17:56","2024-10-17 17:17:56"
174,oky,"2025-01-20 13:34:38","2025-01-20 13:34:38"
175,migoCredit,"2025-02-02 04:08:17","2025-02-02 04:08:17"
176,davivienda,"2025-02-21 22:29:02","2025-02-21 22:29:02"
177,ebanxTest,"2025-03-19 22:59:56","2025-03-19 22:59:56"
178,akisiQR,"2025-04-07 22:26:45","2025-04-07 22:26:45"
179,bancoIndustrial,"2025-05-29 00:11:38","2025-05-29 00:11:38"
180,applePayFac,"2025-06-05 23:16:30","2025-06-05 23:16:30"
181,nequi,"2025-07-04 05:26:12","2025-07-04 05:26:12"
182,bbva,"2025-07-18 08:38:56","2025-07-18 08:38:56"
183,push-payment-neonet,"2025-07-21 21:29:12","2025-07-21 21:29:12"
184,push-payment-gateway,"2025-07-21 22:10:40","2025-07-21 22:10:40"
185,bbvaQR,"2025-07-30 09:12:51","2025-07-30 09:12:51"
186,applePayT1,"2025-08-26 19:29:39","2025-08-26 19:29:39"
187,applePayCyber,"2025-09-05 20:31:47","2025-09-05 20:31:47"
188,bamButton,"2025-11-06 14:02:55","2025-11-06 14:02:55"
189,bamPaymentButton,"2025-11-23 23:54:58","2025-11-23 23:54:58"
190,googlepay,"2025-12-10 18:25:24","2025-12-10 18:25:24"
191,googlePayCyber,"2025-12-22 22:03:05","2025-12-22 22:03:05"
192,quickPayQR,"2026-01-08 19:03:24","2026-01-08 19:03:24"
